@timestamp	nginx.access.remote_ip_list	Allowed
"July 2nd 2018, 07:18:00.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:00.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:58.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:58.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:57.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:57.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:57.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:56.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:55.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:54.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:53.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:53.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:52.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:51.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:49.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:49.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:48.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:47.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:47.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:47.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:46.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:45.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:45.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:44.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:44.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:44.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:43.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:43.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:42.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:42.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:40.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:39.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:38.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:38.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:37.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:36.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:35.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:35.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:35.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:35.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:34.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:34.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:33.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:33.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:33.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:31.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:31.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:31.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:30.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:30.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:30.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:29.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:29.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:28.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:28.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:28.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:27.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:25.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:23.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:23.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:22.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:20.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:20.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:20.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:19.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:17.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:15.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:14.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:14.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:13.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:12.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:11.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:10.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:09.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:08.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:08.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:08.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:08.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:07.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:06.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:05.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:05.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:04.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:04.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:04.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:02.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:17:02.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:17:01.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:16:59.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:16:59.000"	"[""170.248.138.47""]"	yes
